city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Manila,14.6000,120.9833,Philippines,PH,Manila,primary,23088000,1780148
Quezon City,14.6333,121.0333,Philippines,PH,Quezon,admin,2936116,2936116
Davao,7.0667,125.6000,Philippines,PH,Davao,admin,1632991,1632991
Caloocan City,14.6500,120.9667,Philippines,PH,Caloocan,admin,1583978,1583978
Cebu City,10.3000,123.9000,Philippines,PH,Cebu,admin,922611,922611
Zamboanga City,6.9167,122.0833,Philippines,PH,Zamboanga,admin,861799,861799
Taguig City,14.5167,121.0500,Philippines,PH,Taguig,admin,804915,804915
Antipolo,14.5842,121.1763,Philippines,PH,Rizal,admin,776386,776386
Pasig City,14.5750,121.0833,Philippines,PH,Pasig,admin,755300,755300
Cagayan de Oro,8.4833,124.6500,Philippines,PH,Cagayan de Oro,admin,675950,675950
City of Parañaque,14.4667,121.0167,Philippines,PH,Parañaque,admin,665822,665822
Dasmariñas,14.3294,120.9367,Philippines,PH,Cavite,,659019,659019
Valenzuela,14.7000,120.9833,Philippines,PH,Valenzuela,admin,620422,620422
Bacoor,14.4624,120.9645,Philippines,PH,Cavite,,600609,600609
General Santos,6.1167,125.1667,Philippines,PH,General Santos,admin,594446,594446
Las Piñas City,14.4500,120.9833,Philippines,PH,Las Piñas,,588894,588894
Makati City,14.5500,121.0333,Philippines,PH,Makati,admin,582602,582602
San Jose del Monte,14.8139,121.0453,Philippines,PH,Bulacan,,574089,574089
Bacolod,10.6765,122.9509,Philippines,PH,Bacolod,admin,561875,561875
Muntinlupa City,14.3833,121.0500,Philippines,PH,Muntinlupa,admin,504509,504509
City of Calamba,14.2167,121.1667,Philippines,PH,Laguna,,454486,454486
Marikina City,14.6500,121.1000,Philippines,PH,Marikina,admin,450741,450741
Iloilo,10.7167,122.5667,Philippines,PH,Iloilo,admin,447992,447992
Pasay City,14.5500,121.0000,Philippines,PH,Pasay,admin,416522,416522
Angeles City,15.1472,120.5847,Philippines,PH,Angeles,admin,411634,411634
Lapu-Lapu City,10.3127,123.9488,Philippines,PH,Lapu-Lapu,admin,408112,408112
Imus,14.4297,120.9367,Philippines,PH,Cavite,,403785,403785
Mandaluyong City,14.5833,121.0333,Philippines,PH,Mandaluyong,admin,386276,386276
Rodriguez,14.7167,121.1167,Philippines,PH,Rizal,,369222,369222
Malabon,14.6625,120.9567,Philippines,PH,Malabon,admin,365525,365525
Mandaue City,10.3333,123.9333,Philippines,PH,Mandaue,admin,362654,362654
Santa Rosa,14.3167,121.1167,Philippines,PH,Laguna,,353767,353767
Baguio City,16.4152,120.5956,Philippines,PH,Baguio,admin,345366,345366
Iligan,8.2333,124.2500,Philippines,PH,Iligan,admin,342618,342618
Tarlac City,15.4802,120.5979,Philippines,PH,Tarlac,admin,342493,342493
Butuan,8.9534,125.5288,Philippines,PH,Butuan,admin,337063,337063
Biñan,14.3333,121.0833,Philippines,PH,Laguna,,333028,333028
Lipa City,13.9411,121.1622,Philippines,PH,Batangas,,332386,332386
